2026-02-09 22:36:50 | INFO | data_ingestion | Attempting to load data from path: data/raw/loan_approval_dataset.csv
2026-02-09 22:36:50 | INFO | data_ingestion | Successfully loaded data with shape: (4269, 13)
2026-02-09 22:36:50 | INFO | data_ingestion | starting data cleaning process
2026-02-09 22:36:51 | INFO | data_ingestion | data cleaning process completed successfully
2026-02-09 22:36:51 | INFO | data_ingestion | attempting to save cleaned data to path: data/processed
2026-02-09 22:36:51 | INFO | data_ingestion | successfully saved cleaned data to path: data/processed\cleaned_data.csv
2026-02-10 15:36:49 | INFO | feature_engineering | Loading data from path: data/processed/cleaned_data.csv
2026-02-10 15:36:49 | INFO | feature_engineering | Data loaded successfully.
2026-02-10 15:36:49 | INFO | feature_engineering | splitting data into fetures and target variable started
2026-02-10 15:36:49 | INFO | feature_engineering | data splitting completed successfully
2026-02-10 15:36:49 | INFO | feature_engineering | starting feature engineering process
2026-02-10 15:36:49 | ERROR | feature_engineering | an error occurred during feature engineering: A given column is not a column of the dataframe
2026-02-10 15:36:49 | ERROR | feature_engineering | an error occurred in the main function of feature engineering: feature engineering failed
2026-02-10 15:44:10 | INFO | feature_engineering | Loading data from path: data/processed/cleaned_data.csv
2026-02-10 15:44:10 | INFO | feature_engineering | Data loaded successfully.
2026-02-10 15:44:10 | INFO | feature_engineering | splitting data into fetures and target variable started
2026-02-10 15:44:10 | INFO | feature_engineering | data splitting completed successfully
2026-02-10 15:44:10 | INFO | feature_engineering | starting feature engineering process
2026-02-10 15:44:10 | ERROR | feature_engineering | an error occurred during feature engineering: A given column is not a column of the dataframe
2026-02-10 15:44:10 | ERROR | feature_engineering | an error occurred in the main function of feature engineering: feature engineering failed
2026-02-10 15:52:05 | INFO | feature_engineering | Loading data from path: data/processed/cleaned_data.csv
2026-02-10 15:52:05 | INFO | feature_engineering | Data loaded successfully.
2026-02-10 15:52:05 | INFO | feature_engineering | splitting data into fetures and target variable started
2026-02-10 15:52:05 | INFO | feature_engineering | data splitting completed successfully
2026-02-10 15:52:05 | INFO | feature_engineering | starting feature engineering process
2026-02-10 15:52:05 | ERROR | feature_engineering | an error occurred during feature engineering: Estimator log does not provide get_feature_names_out. Did you mean to call pipeline[:-1].get_feature_names_out()?
2026-02-10 15:52:05 | ERROR | feature_engineering | an error occurred in the main function of feature engineering: feature engineering failed
2026-02-10 15:55:08 | INFO | feature_engineering | Loading data from path: data/processed/cleaned_data.csv
2026-02-10 15:55:08 | INFO | feature_engineering | Data loaded successfully.
2026-02-10 15:55:08 | INFO | feature_engineering | splitting data into fetures and target variable started
2026-02-10 15:55:08 | INFO | feature_engineering | data splitting completed successfully
2026-02-10 15:55:08 | INFO | feature_engineering | starting feature engineering process
2026-02-10 15:55:08 | ERROR | feature_engineering | an error occurred during feature engineering: 'ColumnTransformer' object is not subscriptable
2026-02-10 15:55:08 | ERROR | feature_engineering | an error occurred in the main function of feature engineering: feature engineering failed
